Japanese,English
企画,Planning
マジセミをご利用いただくべき理由,Reasons to use Majisemi
貴社のウェビナー運営を代行,Delegate your webinar operations to us
専任の企画担当が、タイトル・告知文を作成します！,A dedicated planning manager will create the title and announcement text!
IT知識を有したマジセミの企画専任担当者が、集客と商談化を実現するウェビナー企画を一緒に作り上げていきます。,A Majisemi planning specialist with IT knowledge will collaborate with you to create a webinar plan that achieves audience acquisition and business negotiations.
アテンダント（セミナー事務局）がウェビナー開催までサポートします！,Attendants (seminar secretariat) will support you until the webinar is hosted!
年間1000回のセミナー運営経験のあるアテンダントが、セミナー開催まで一緒に伴走致します。,"An attendant with experience in organizing 1,000 seminars annually will accompany you until the seminar is held."
お困りごとは気軽にご相談いただけます！,Feel free to consult us with any issues!
アテンダント,Attendant
（セミナー事務局）,(Seminar office)
本申込,This application
商材名・商材情報・ターゲット・ペインポイントを管理システムにご入力いただきます。,"Please enter product name, product information, target, and pain points into the management system."
メールで,By email
ご確認,Confirmation
弊社にて,At our company
集客ページの,Preparation for publishing
公開準備が,of the recruitment page
スタート！！,starts!!
企画ミーティング,Planning meeting
オンラインで１時間ミーティングを行います。,We will hold a one-hour online meeting.
事前情報を元に、詳細をすり合わせします。,We will align details based on preliminary information.
企画FIX,Plan finalized
管理システムの承認ボタンを押していただき、企画が確定します。,Press the approval button in the management system to finalize the plan.
集客ページ公開,Recruitment page publication
申込ページの作成,Creation of application page
申込者対応,Handling of applicants
"・お問い合わせ対応
・リマインド","・Inquiry response
・Reminders"
・参加用URLの発行,・Issuance of participation URL
STEP５,STEP 5
リハーサル,Rehearsal
"・当日の流れやご要望の確認
・ご講演者の接続環境確認
・ご準備状況の確認","・Confirmation of the day's flow and requests
・Verification of speaker's connection environment
・Confirmation of preparation status"
当日,On the day
・司会進行,・Moderation
・アンケート取得,・Survey collection
レポート作成,Report creation
キャスト,Cast
